,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
82925,Shot Chart Detail,21500013,24,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,9,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,135,43,1,0,20151028,OKC,SAS
82926,Shot Chart Detail,21500013,34,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,8,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,164,65,1,1,20151028,OKC,SAS
82927,Shot Chart Detail,21500013,63,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,6,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20151028,OKC,SAS
82928,Shot Chart Detail,21500013,81,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,1,4,29,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,114,61,1,0,20151028,OKC,SAS
82929,Shot Chart Detail,21500013,254,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,2,0,1,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,1,20151028,OKC,SAS
82930,Shot Chart Detail,21500013,260,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,11,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-86,33,1,1,20151028,OKC,SAS
82931,Shot Chart Detail,21500013,291,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,8,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,0,20151028,OKC,SAS
82932,Shot Chart Detail,21500013,292,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,3,8,19,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,0,20151028,OKC,SAS
82933,Shot Chart Detail,21500013,466,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,5,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,28,1,0,20151028,OKC,SAS
82934,Shot Chart Detail,21500013,477,200746,LaMarcus Aldridge,1610612759,San Antonio Spurs,4,4,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,32,193,1,0,20151028,OKC,SAS
