Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
7804,Shot Chart Detail,21500099,162,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-73,242,1,0,20151109,IND,ORL
7805,Shot Chart Detail,21500099,402,201978,Chase Budinger,1610612754,Indiana Pacers,4,9,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-99,242,1,1,20151109,IND,ORL
7806,Shot Chart Detail,21500099,443,201978,Chase Budinger,1610612754,Indiana Pacers,4,5,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,2,1,1,20151109,IND,ORL
7807,Shot Chart Detail,21500116,88,201978,Chase Budinger,1610612754,Indiana Pacers,1,3,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-60,101,1,0,20151111,BOS,IND
7808,Shot Chart Detail,21500116,117,201978,Chase Budinger,1610612754,Indiana Pacers,1,1,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,2,1,1,20151111,BOS,IND
7809,Shot Chart Detail,21500116,141,201978,Chase Budinger,1610612754,Indiana Pacers,2,11,42,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151111,BOS,IND
7810,Shot Chart Detail,21500116,169,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,218,1,0,20151111,BOS,IND
7811,Shot Chart Detail,21500116,181,201978,Chase Budinger,1610612754,Indiana Pacers,2,6,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-148,90,1,0,20151111,BOS,IND
7812,Shot Chart Detail,21500116,193,201978,Chase Budinger,1610612754,Indiana Pacers,2,5,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,1,20151111,BOS,IND
7813,Shot Chart Detail,21500116,488,201978,Chase Budinger,1610612754,Indiana Pacers,4,8,54,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151111,BOS,IND
7814,Shot Chart Detail,21500127,73,201978,Chase Budinger,1610612754,Indiana Pacers,1,1,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,0,20151113,IND,MIN
7815,Shot Chart Detail,21500127,113,201978,Chase Budinger,1610612754,Indiana Pacers,2,10,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,31,1,1,20151113,IND,MIN
7816,Shot Chart Detail,21500127,120,201978,Chase Budinger,1610612754,Indiana Pacers,2,9,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-29,126,1,0,20151113,IND,MIN
7817,Shot Chart Detail,21500127,128,201978,Chase Budinger,1610612754,Indiana Pacers,2,8,40,Made Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,96,65,1,1,20151113,IND,MIN
7818,Shot Chart Detail,21500153,237,201978,Chase Budinger,1610612754,Indiana Pacers,2,0,43,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,0,20151116,CHI,IND
7819,Shot Chart Detail,21500153,304,201978,Chase Budinger,1610612754,Indiana Pacers,3,8,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,43,1,0,20151116,CHI,IND
7820,Shot Chart Detail,21500167,58,201978,Chase Budinger,1610612754,Indiana Pacers,1,5,59,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,5,1,1,20151118,PHI,IND
7821,Shot Chart Detail,21500167,88,201978,Chase Budinger,1610612754,Indiana Pacers,1,3,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,9,259,1,0,20151118,PHI,IND
7822,Shot Chart Detail,21500167,116,201978,Chase Budinger,1610612754,Indiana Pacers,1,0,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,31,1,0,20151118,PHI,IND
7823,Shot Chart Detail,21500167,135,201978,Chase Budinger,1610612754,Indiana Pacers,2,10,49,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151118,PHI,IND
7824,Shot Chart Detail,21500167,145,201978,Chase Budinger,1610612754,Indiana Pacers,2,9,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-53,-1,1,0,20151118,PHI,IND
7825,Shot Chart Detail,21500167,349,201978,Chase Budinger,1610612754,Indiana Pacers,3,2,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,9,110,1,0,20151118,PHI,IND
7826,Shot Chart Detail,21500167,384,201978,Chase Budinger,1610612754,Indiana Pacers,3,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,39,-81,382,1,0,20151118,PHI,IND
7827,Shot Chart Detail,21500167,391,201978,Chase Budinger,1610612754,Indiana Pacers,4,11,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-12,262,1,1,20151118,PHI,IND
7828,Shot Chart Detail,21500167,407,201978,Chase Budinger,1610612754,Indiana Pacers,4,10,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-2,92,1,0,20151118,PHI,IND
7829,Shot Chart Detail,21500167,413,201978,Chase Budinger,1610612754,Indiana Pacers,4,9,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,109,228,1,0,20151118,PHI,IND
